age,income_tier,primary_use,human_choice
41,Medium,Gaming,Option C
34,Low,Voice,Option C
47,Low,Voice,Option A
50,Medium,Browsing,Option B
54,Low,Voice,Option C
19,High,Streaming,Option A
38,Low,Browsing,Option A
33,Medium,Browsing,Option C
53,High,Streaming,Option B
23,Low,Voice,Option B
33,High,Streaming,Option C
34,Medium,Browsing,Option B
47,High,Gaming,Option A
77,High,Streaming,Option A
62,High,Streaming,Option A
20,Medium,Streaming,Option A
48,Low,Voice,Option C
36,Low,Browsing,Option A
78,High,Streaming,Option C
73,Low,Voice,Option C
48,Medium,Browsing,Option A
19,Low,Voice,Option C
31,High,Streaming,Option A
45,Low,Voice,Option B
71,High,Streaming,Option B
71,Medium,Browsing,Option A
30,Medium,Gaming,Option A
23,Low,Voice,Option A
44,High,Streaming,Option C
37,Medium,Gaming,Option A
73,High,Streaming,Option B
45,Low,Voice,Option C
54,Low,Browsing,Option A
41,Medium,Gaming,Option A
41,Medium,Browsing,Option B
31,Medium,Streaming,Option A
20,Low,Voice,Option C
24,High,Streaming,Option C
43,High,Gaming,Option A
32,Medium,Streaming,Option A
30,Low,Voice,Option C
28,Low,Voice,Option B
47,High,Streaming,Option A
48,Low,Browsing,Option A
46,Medium,Gaming,Option A
27,Low,Browsing,Option C
34,Medium,Browsing,Option C
54,Low,Voice,Option A
32,Medium,Browsing,Option C
47,Low,Voice,Option C
20,Medium,Gaming,Option A
31,Medium,Gaming,Option A
60,High,Gaming,Option A
23,High,Gaming,Option B
77,Medium,Gaming,Option A
33,High,Streaming,Option B
32,Medium,Streaming,Option A
52,Low,Voice,Option C
20,Low,Voice,Option C
34,Low,Voice,Option A
61,High,Streaming,Option C
36,Medium,Gaming,Option A
45,Medium,Streaming,Option C
47,Low,Browsing,Option A
64,High,Gaming,Option A
32,High,Streaming,Option A
40,Medium,Gaming,Option A
45,Low,Voice,Option C
32,Medium,Browsing,Option A
46,High,Gaming,Option A
37,Medium,Streaming,Option A
51,Low,Voice,Option B
36,Medium,Gaming,Option A
29,Low,Voice,Option C
79,Medium,Browsing,Option A
79,Low,Streaming,Option A
33,Low,Browsing,Option A
66,Low,Browsing,Option A
33,Low,Browsing,Option A
30,High,Streaming,Option A
32,Low,Voice,Option A
62,High,Gaming,Option A
29,Low,Voice,Option C
36,High,Streaming,Option C
27,Low,Voice,Option B
44,Medium,Streaming,Option A
25,Low,Voice,Option C
50,Medium,Streaming,Option B
40,Low,Browsing,Option B
42,Low,Voice,Option B
24,Low,Voice,Option C
30,Low,Voice,Option B
42,Low,Browsing,Option A
61,Medium,Browsing,Option A
34,Low,Browsing,Option A
25,Low,Browsing,Option A
35,Low,Browsing,Option A
72,Low,Browsing,Option A
44,Low,Voice,Option C
70,Medium,Browsing,Option A
23,Medium,Browsing,Option C
23,Medium,Gaming,Option A
37,High,Gaming,Option A
50,Low,Voice,Option C
45,Low,Browsing,Option A
62,Medium,Streaming,Option A
51,Low,Voice,Option B
71,Medium,Browsing,Option B
60,High,Streaming,Option B
30,High,Streaming,Option B
33,Medium,Streaming,Option A
38,Low,Browsing,Option A
19,Low,Voice,Option C
44,Low,Browsing,Option A
33,High,Gaming,Option A
47,Low,Voice,Option C
31,Medium,Streaming,Option C
25,High,Streaming,Option C
35,High,Streaming,Option C
52,High,Streaming,Option B
50,High,Streaming,Option C
40,Low,Voice,Option A
50,Medium,Gaming,Option A
54,High,Gaming,Option A
25,Low,Browsing,Option A
28,Medium,Browsing,Option A
78,High,Streaming,Option A
52,Medium,Browsing,Option B
44,Medium,Browsing,Option A
18,Medium,Browsing,Option C
31,Medium,Gaming,Option A
31,Medium,Browsing,Option B
48,Low,Browsing,Option A
38,Low,Voice,Option A
67,Low,Browsing,Option A
76,Medium,Streaming,Option A
20,Medium,Browsing,Option A
25,Low,Streaming,Option A
44,High,Streaming,Option C
37,Medium,Browsing,Option A
71,Medium,Browsing,Option A
68,Medium,Gaming,Option A
28,High,Gaming,Option A
28,Low,Voice,Option C
37,Low,Voice,Option B
37,High,Streaming,Option C
42,High,Streaming,Option A
32,High,Gaming,Option A
39,Low,Voice,Option B
22,Low,Browsing,Option B
42,Medium,Streaming,Option A
45,Low,Voice,Option C
30,Low,Voice,Option B
45,Low,Browsing,Option A
26,High,Streaming,Option C
22,Low,Voice,Option B
26,High,Streaming,Option B
24,Medium,Streaming,Option A
34,Medium,Browsing,Option A
42,Medium,Gaming,Option A
67,High,Streaming,Option C
41,Medium,Browsing,Option A
39,Medium,Browsing,Option A
54,Low,Voice,Option A
21,High,Streaming,Option C
23,Medium,Streaming,Option A
37,Low,Voice,Option C
66,High,Streaming,Option A
49,Medium,Streaming,Option C
28,High,Streaming,Option A
35,High,Streaming,Option A
26,Low,Voice,Option A
43,Medium,Gaming,Option A
20,Low,Voice,Option A
28,High,Streaming,Option B
33,Low,Voice,Option A
35,Low,Voice,Option B
22,Medium,Gaming,Option A
31,Low,Voice,Option B
49,Medium,Browsing,Option B
53,Low,Voice,Option C
53,Low,Voice,Option A
23,Low,Voice,Option A
40,Medium,Browsing,Option B
32,Medium,Browsing,Option A
34,Low,Voice,Option C
29,Low,Browsing,Option A
42,Low,Browsing,Option A
23,Low,Voice,Option C
49,High,Streaming,Option A
21,High,Gaming,Option B
46,Medium,Gaming,Option A
35,High,Streaming,Option C
45,High,Streaming,Option A
49,Medium,Browsing,Option A
28,High,Gaming,Option A
43,Medium,Gaming,Option A
20,Medium,Gaming,Option A
40,High,Streaming,Option A
29,High,Streaming,Option C
51,Medium,Browsing,Option A
48,Medium,Gaming,Option A
30,Low,Browsing,Option A
36,High,Gaming,Option A
39,Medium,Browsing,Option B
24,High,Streaming,Option B
33,Medium,Gaming,Option A
43,Medium,Browsing,Option B
26,Low,Browsing,Option A
66,Medium,Browsing,Option A
23,Medium,Browsing,Option B
45,High,Streaming,Option B
39,Medium,Streaming,Option C
19,Medium,Streaming,Option A
47,Low,Voice,Option B
33,High,Gaming,Option A
39,Medium,Streaming,Option C
19,Medium,Gaming,Option A
51,Low,Voice,Option C
72,High,Streaming,Option A
73,High,Streaming,Option A
44,Medium,Streaming,Option C
51,Low,Voice,Option C
48,High,Gaming,Option A
48,High,Streaming,Option A
26,Low,Voice,Option A
50,Medium,Streaming,Option B
36,High,Gaming,Option A
52,Low,Browsing,Option A
25,High,Gaming,Option C
53,High,Streaming,Option A
76,High,Streaming,Option B
21,Low,Streaming,Option C
74,Medium,Streaming,Option A
19,Medium,Streaming,Option B
54,Medium,Streaming,Option A
21,Low,Browsing,Option A
32,Low,Voice,Option B
68,Medium,Gaming,Option A
48,Medium,Browsing,Option C
45,High,Streaming,Option C
47,Low,Streaming,Option A
24,Medium,Gaming,Option A
66,Medium,Gaming,Option A
43,Low,Voice,Option A
51,Low,Streaming,Option C
47,High,Streaming,Option C
29,High,Streaming,Option A
42,High,Streaming,Option B
52,Low,Browsing,Option A
29,Medium,Gaming,Option A
51,High,Gaming,Option A
42,Medium,Streaming,Option C
37,Medium,Gaming,Option A
42,High,Streaming,Option A
36,High,Streaming,Option A
40,Low,Voice,Option B
35,Medium,Browsing,Option A
20,Low,Browsing,Option A
46,High,Gaming,Option A
42,Low,Voice,Option C
24,Low,Browsing,Option A
46,High,Streaming,Option B
36,Medium,Streaming,Option B
31,High,Streaming,Option C
47,High,Gaming,Option A
75,Medium,Gaming,Option A
44,High,Streaming,Option B
43,High,Streaming,Option C
63,High,Streaming,Option B
53,Low,Voice,Option B
24,Low,Voice,Option C
49,High,Gaming,Option B
48,Medium,Browsing,Option A
25,Low,Browsing,Option A
49,High,Streaming,Option A
47,Low,Voice,Option A
49,Medium,Browsing,Option B
26,Medium,Browsing,Option A
79,Medium,Gaming,Option A
64,Medium,Gaming,Option A
18,High,Streaming,Option A
33,Medium,Gaming,Option A
37,High,Streaming,Option C
50,Low,Voice,Option C
64,Medium,Browsing,Option A
77,Medium,Gaming,Option A
49,Low,Voice,Option B
51,High,Streaming,Option C
37,Low,Browsing,Option A
18,Medium,Streaming,Option A
67,High,Streaming,Option A
50,High,Gaming,Option A
39,Low,Browsing,Option C
41,Low,Voice,Option C
37,High,Streaming,Option A
38,Medium,Gaming,Option A
26,Low,Browsing,Option A
41,High,Streaming,Option A
46,Medium,Gaming,Option A
38,Medium,Streaming,Option A
29,High,Streaming,Option C
41,High,Streaming,Option A
26,High,Streaming,Option C
19,Low,Browsing,Option A
26,Low,Voice,Option C
41,Medium,Streaming,Option B
36,Low,Voice,Option B
33,High,Streaming,Option A
48,Low,Voice,Option C
71,High,Streaming,Option B
23,High,Streaming,Option A
54,High,Streaming,Option A
23,Medium,Browsing,Option A
19,High,Streaming,Option C
28,Low,Voice,Option B
42,Low,Voice,Option A
75,High,Streaming,Option A
63,High,Streaming,Option A
19,Medium,Browsing,Option B
36,Medium,Gaming,Option A
32,Medium,Browsing,Option B
25,High,Streaming,Option A
77,Medium,Streaming,Option C
29,Medium,Gaming,Option A
21,Low,Voice,Option A
37,Low,Voice,Option A
49,Medium,Gaming,Option A
62,High,Streaming,Option A
27,Medium,Streaming,Option A
19,Low,Browsing,Option A
44,Medium,Browsing,Option B
41,Low,Browsing,Option C
20,Low,Browsing,Option A
31,Low,Voice,Option C
49,Medium,Browsing,Option C
43,Low,Voice,Option A
29,Low,Voice,Option A
25,Medium,Streaming,Option A
47,Low,Voice,Option A
29,High,Streaming,Option A
22,High,Gaming,Option A
21,Medium,Gaming,Option A
47,High,Streaming,Option B
18,High,Gaming,Option B
50,Medium,Gaming,Option A
67,Medium,Gaming,Option A
43,High,Gaming,Option A
31,Medium,Gaming,Option A
25,Medium,Browsing,Option B
41,High,Gaming,Option A
45,Low,Browsing,Option A
18,Low,Voice,Option C
39,Low,Voice,Option A
26,Low,Voice,Option C
43,Medium,Browsing,Option B
42,High,Gaming,Option B
28,Medium,Browsing,Option A
30,High,Streaming,Option C
37,Medium,Browsing,Option A
44,Medium,Streaming,Option C
50,Medium,Gaming,Option A
47,Low,Voice,Option B
36,Low,Voice,Option C
36,Low,Voice,Option A
30,Medium,Streaming,Option B
24,Medium,Gaming,Option A
29,Low,Browsing,Option A
36,Medium,Streaming,Option C
39,Low,Browsing,Option A
49,Low,Browsing,Option B
20,Medium,Streaming,Option A
49,Medium,Gaming,Option A
28,High,Streaming,Option B
20,Low,Streaming,Option C
30,Low,Voice,Option B
72,Medium,Gaming,Option A
34,Low,Voice,Option A
28,High,Streaming,Option A
19,High,Streaming,Option A
41,Low,Voice,Option C
37,Medium,Browsing,Option C
54,Medium,Streaming,Option A
25,High,Gaming,Option A
34,Low,Voice,Option A
51,Medium,Browsing,Option B
76,Medium,Streaming,Option C
20,Medium,Browsing,Option A
42,Medium,Gaming,Option A
43,High,Streaming,Option B
28,Low,Voice,Option A
45,Low,Voice,Option A
20,High,Streaming,Option B
30,Medium,Gaming,Option A
42,Low,Voice,Option C
43,Medium,Browsing,Option A
42,Medium,Gaming,Option A
46,Low,Voice,Option C
21,High,Gaming,Option A
20,Medium,Gaming,Option A
45,High,Streaming,Option B
23,Medium,Streaming,Option C
20,Low,Voice,Option C
51,Medium,Streaming,Option C
41,Medium,Gaming,Option A
26,High,Streaming,Option A
72,High,Streaming,Option A
35,High,Streaming,Option C
44,Low,Voice,Option B
76,High,Gaming,Option B
68,High,Streaming,Option A
60,Medium,Gaming,Option A
26,Medium,Streaming,Option C
36,Medium,Browsing,Option B
44,Medium,Browsing,Option A
47,Low,Browsing,Option A
24,High,Gaming,Option A
19,Low,Voice,Option B
18,High,Streaming,Option A
22,Low,Voice,Option C
68,High,Gaming,Option C
36,Low,Voice,Option C
48,Low,Voice,Option B
63,High,Gaming,Option C
45,Medium,Streaming,Option B
43,High,Streaming,Option C
42,Medium,Browsing,Option A
78,High,Gaming,Option A
33,Medium,Browsing,Option A
36,Low,Voice,Option C
24,High,Streaming,Option C
42,Low,Browsing,Option A
22,Low,Voice,Option C
52,Medium,Streaming,Option C
66,High,Streaming,Option A
73,High,Streaming,Option C
46,Low,Voice,Option B
19,Medium,Streaming,Option A
41,Low,Voice,Option B
35,Low,Voice,Option A
40,Medium,Browsing,Option A
46,Medium,Browsing,Option B
46,Low,Voice,Option C
53,Medium,Streaming,Option B
24,High,Streaming,Option B
73,Medium,Gaming,Option A
42,High,Gaming,Option B
25,High,Streaming,Option B
67,High,Streaming,Option B
63,High,Gaming,Option A
47,High,Streaming,Option A
70,High,Streaming,Option A
54,Low,Voice,Option A
45,High,Streaming,Option C
26,High,Streaming,Option B
19,Low,Voice,Option B
24,Low,Voice,Option C
35,High,Gaming,Option A
31,Low,Browsing,Option C
78,High,Streaming,Option A
31,High,Streaming,Option C
23,Medium,Streaming,Option C
62,High,Streaming,Option A
31,Medium,Streaming,Option C
49,Medium,Browsing,Option C
23,High,Streaming,Option A
43,High,Gaming,Option A
60,Medium,Gaming,Option A
31,Low,Streaming,Option B
41,Low,Browsing,Option C
36,Low,Voice,Option B
60,High,Streaming,Option C
49,Medium,Gaming,Option A
27,Low,Voice,Option C
27,Medium,Gaming,Option A
18,Low,Voice,Option C
41,Medium,Streaming,Option A
53,Medium,Browsing,Option C
30,Medium,Streaming,Option B
67,Medium,Gaming,Option A
41,Low,Browsing,Option B
23,High,Streaming,Option A
20,Low,Browsing,Option C
62,High,Streaming,Option C
43,Low,Voice,Option C
24,Low,Voice,Option B
67,High,Streaming,Option A
37,Medium,Browsing,Option B
44,High,Streaming,Option C
40,High,Streaming,Option A
42,Low,Voice,Option C
26,Medium,Browsing,Option A
22,Medium,Streaming,Option A
32,Low,Voice,Option B
30,Medium,Streaming,Option A
49,Low,Voice,Option B
64,Medium,Streaming,Option C
76,High,Gaming,Option C
38,Medium,Browsing,Option A
47,Medium,Browsing,Option B
32,Medium,Streaming,Option B
25,Medium,Browsing,Option B
33,Low,Voice,Option C
36,Medium,Gaming,Option A
35,Medium,Browsing,Option A
48,Medium,Streaming,Option A
49,High,Gaming,Option A
30,High,Streaming,Option C
33,High,Streaming,Option A
62,High,Streaming,Option B
38,High,Streaming,Option C
54,Low,Voice,Option C
37,Medium,Gaming,Option A
79,High,Streaming,Option A
75,High,Streaming,Option A
46,Low,Browsing,Option A
47,Low,Voice,Option B
18,High,Streaming,Option A
51,Medium,Gaming,Option A
71,High,Streaming,Option A
52,High,Streaming,Option A
61,Low,Browsing,Option A
65,Low,Voice,Option C
62,High,Streaming,Option A
41,Medium,Browsing,Option A
72,High,Streaming,Option A
35,Medium,Gaming,Option A
34,Medium,Browsing,Option A
35,High,Gaming,Option A
69,Medium,Browsing,Option A
69,High,Streaming,Option C
41,High,Streaming,Option A
27,High,Streaming,Option C
53,Low,Streaming,Option A
53,High,Streaming,Option A
54,High,Streaming,Option C
50,High,Streaming,Option C
43,High,Streaming,Option A
25,Low,Browsing,Option A
74,Low,Browsing,Option A
45,High,Streaming,Option B
45,Medium,Gaming,Option C
30,Medium,Browsing,Option C
21,High,Streaming,Option B
45,High,Gaming,Option A
44,High,Streaming,Option C
24,Low,Browsing,Option A
25,High,Streaming,Option B
51,High,Streaming,Option A
50,Medium,Gaming,Option A
20,Medium,Streaming,Option B
34,High,Streaming,Option B
49,High,Streaming,Option C
23,Medium,Streaming,Option C
77,High,Streaming,Option A
43,Low,Voice,Option B
26,High,Streaming,Option B
44,High,Streaming,Option C
53,Medium,Streaming,Option B
35,Low,Voice,Option A
31,Low,Voice,Option C
40,High,Streaming,Option C
25,High,Streaming,Option A
40,High,Streaming,Option C
74,High,Streaming,Option A
33,Low,Voice,Option C
38,High,Streaming,Option A
75,Medium,Gaming,Option A
34,Low,Voice,Option A
19,High,Streaming,Option B
77,High,Streaming,Option A
75,High,Streaming,Option A
40,High,Gaming,Option B
45,Medium,Browsing,Option A
36,Low,Voice,Option B
41,Medium,Streaming,Option B
38,Medium,Browsing,Option A
75,High,Streaming,Option A
44,Medium,Browsing,Option A
19,Medium,Gaming,Option A
75,High,Streaming,Option B
45,Low,Voice,Option C
65,High,Streaming,Option A
36,Low,Browsing,Option B
42,High,Streaming,Option C
44,High,Streaming,Option A
23,Low,Browsing,Option A
67,Low,Browsing,Option C
38,Low,Voice,Option A
47,High,Gaming,Option C
18,Low,Voice,Option B
43,Low,Browsing,Option A
24,High,Gaming,Option C
30,Medium,Streaming,Option A
37,Medium,Browsing,Option C
25,Low,Voice,Option A
35,Medium,Gaming,Option A
19,Low,Voice,Option C
48,Medium,Browsing,Option C
38,Low,Browsing,Option A
22,Medium,Browsing,Option B
25,Low,Voice,Option B
51,Medium,Streaming,Option A
36,Low,Voice,Option C
43,Low,Browsing,Option A
25,Low,Browsing,Option A
19,Low,Browsing,Option A
22,Medium,Gaming,Option A
63,High,Streaming,Option A
68,Medium,Gaming,Option A
43,High,Streaming,Option A
53,High,Streaming,Option C
43,High,Gaming,Option C
45,High,Streaming,Option C
36,Low,Voice,Option A
39,High,Streaming,Option C
29,Low,Browsing,Option B
28,Low,Voice,Option A
65,High,Streaming,Option C
49,Medium,Streaming,Option B
47,Medium,Browsing,Option A
48,Medium,Gaming,Option A
69,High,Streaming,Option A
22,High,Streaming,Option A
45,Low,Voice,Option B
52,Low,Browsing,Option B
44,Low,Browsing,Option A
71,High,Gaming,Option A
25,Low,Browsing,Option A
30,Medium,Browsing,Option A
31,High,Streaming,Option A
26,Medium,Browsing,Option A
21,High,Streaming,Option B
37,Low,Voice,Option B
41,Medium,Streaming,Option A
54,High,Streaming,Option A
40,High,Streaming,Option B
22,Medium,Gaming,Option B
70,High,Streaming,Option B
79,High,Gaming,Option B
21,High,Streaming,Option A
50,Low,Browsing,Option A
52,Low,Streaming,Option A
39,High,Gaming,Option A
64,Medium,Browsing,Option A
44,Low,Voice,Option A
44,Medium,Streaming,Option B
34,High,Streaming,Option B
30,High,Streaming,Option A
23,High,Streaming,Option A
53,Medium,Gaming,Option A
21,Low,Voice,Option C
46,Medium,Streaming,Option B
44,Medium,Gaming,Option A
46,Medium,Streaming,Option C
39,Low,Browsing,Option B
26,Low,Browsing,Option C
43,Low,Voice,Option B
70,High,Streaming,Option A
21,High,Streaming,Option B
22,Low,Browsing,Option A
72,High,Gaming,Option A
37,Medium,Browsing,Option B
26,Low,Streaming,Option A
49,Low,Browsing,Option A
65,Medium,Gaming,Option A
21,Low,Voice,Option B
29,High,Streaming,Option C
22,Low,Voice,Option A
24,Low,Browsing,Option A
40,Low,Browsing,Option A
33,High,Streaming,Option A
62,Medium,Gaming,Option B
22,Medium,Browsing,Option C
73,Low,Browsing,Option A
68,Low,Voice,Option B
40,Medium,Browsing,Option B
44,Low,Voice,Option A
53,Medium,Streaming,Option A
76,Medium,Gaming,Option A
38,Medium,Browsing,Option A
46,High,Streaming,Option A
52,Low,Voice,Option B
32,Low,Voice,Option A
62,Medium,Streaming,Option A
66,Medium,Streaming,Option A
24,High,Streaming,Option C
79,High,Streaming,Option A
47,Medium,Gaming,Option A
36,High,Streaming,Option A
42,Medium,Gaming,Option A
77,High,Streaming,Option A
28,Medium,Streaming,Option A
21,High,Streaming,Option C
50,High,Streaming,Option B
73,Medium,Gaming,Option A
62,Medium,Gaming,Option A
43,Low,Voice,Option C
47,High,Gaming,Option A
42,Low,Voice,Option C
64,High,Streaming,Option B
75,High,Streaming,Option C
39,Low,Voice,Option A
39,Low,Voice,Option C
45,Low,Voice,Option B
19,Medium,Browsing,Option A
48,High,Gaming,Option A
29,Medium,Gaming,Option A
28,Low,Browsing,Option A
20,Low,Voice,Option C
23,High,Streaming,Option B
31,Low,Streaming,Option A
26,Low,Voice,Option B
19,Low,Voice,Option C
28,High,Streaming,Option A
23,Medium,Browsing,Option C
45,Low,Voice,Option A
47,High,Streaming,Option A
34,High,Gaming,Option C
39,Medium,Streaming,Option C
38,High,Gaming,Option A
19,Low,Browsing,Option A
52,Medium,Browsing,Option C
70,High,Streaming,Option A
63,Low,Voice,Option C
53,Low,Browsing,Option A
74,High,Streaming,Option A
25,Low,Voice,Option A
20,Medium,Gaming,Option A
39,High,Gaming,Option B
53,Medium,Browsing,Option A
50,Medium,Browsing,Option A
52,Medium,Browsing,Option B
37,High,Streaming,Option C
32,Low,Voice,Option A
45,Medium,Streaming,Option A
41,High,Gaming,Option A
19,Medium,Gaming,Option A
50,Low,Voice,Option B
53,Low,Voice,Option C
23,Low,Voice,Option A
21,Medium,Browsing,Option A
49,Medium,Streaming,Option B
40,Medium,Streaming,Option B
19,Low,Voice,Option C
32,Low,Voice,Option B
25,Low,Voice,Option B
39,Medium,Gaming,Option A
28,Low,Voice,Option B
62,Low,Voice,Option C
29,Low,Voice,Option C
35,High,Streaming,Option C
48,Low,Voice,Option C
47,Medium,Gaming,Option A
71,High,Gaming,Option B
22,Medium,Browsing,Option B
20,Low,Voice,Option C
77,High,Gaming,Option A
25,High,Streaming,Option C
60,High,Streaming,Option A
74,Medium,Gaming,Option A
19,High,Streaming,Option A
34,High,Streaming,Option A
47,Medium,Streaming,Option C
60,High,Gaming,Option A
41,Medium,Streaming,Option B
53,Low,Voice,Option C
48,Low,Voice,Option C
52,High,Gaming,Option C
20,Low,Voice,Option A
33,Medium,Gaming,Option A
49,Medium,Streaming,Option A
77,Medium,Browsing,Option B
36,High,Streaming,Option A
25,Low,Voice,Option C
70,High,Streaming,Option B
40,Medium,Streaming,Option C
36,High,Gaming,Option B
68,High,Streaming,Option C
33,Low,Voice,Option B
18,High,Streaming,Option C
45,Low,Streaming,Option C
36,Low,Voice,Option C
20,High,Streaming,Option C
39,Medium,Streaming,Option C
36,Medium,Streaming,Option B
53,High,Streaming,Option A
20,Medium,Streaming,Option B
40,Medium,Streaming,Option B
29,Medium,Streaming,Option A
50,Low,Browsing,Option C
77,Medium,Gaming,Option A
51,Low,Voice,Option A
27,Low,Voice,Option C
19,Low,Voice,Option A
21,Low,Voice,Option B
60,Low,Voice,Option A
39,Medium,Browsing,Option A
51,Medium,Streaming,Option A
49,Medium,Gaming,Option A
35,Low,Browsing,Option A
35,Low,Voice,Option B
54,High,Streaming,Option C
49,High,Gaming,Option A
23,High,Streaming,Option C
38,Medium,Streaming,Option C
76,High,Streaming,Option A
44,Medium,Streaming,Option B
34,Low,Voice,Option C
33,High,Streaming,Option C
33,High,Streaming,Option A
53,Low,Voice,Option C
54,Low,Voice,Option C
26,High,Streaming,Option A
53,High,Streaming,Option C
52,Low,Voice,Option C
40,Medium,Browsing,Option A
78,High,Streaming,Option A
38,Low,Voice,Option A
22,High,Streaming,Option A
23,High,Streaming,Option A
75,High,Streaming,Option A
50,Low,Voice,Option C
69,High,Streaming,Option A
34,Low,Voice,Option A
18,High,Streaming,Option A
76,Medium,Streaming,Option C
54,Medium,Streaming,Option A
40,Low,Voice,Option C
47,Low,Voice,Option A
23,Low,Voice,Option B
36,Low,Browsing,Option A
74,Medium,Gaming,Option A
75,High,Gaming,Option A
38,High,Streaming,Option A
27,Low,Voice,Option A
34,Low,Voice,Option C
45,High,Streaming,Option C
40,Medium,Streaming,Option C
50,Medium,Streaming,Option B
42,High,Streaming,Option B
52,Medium,Gaming,Option A
19,Medium,Browsing,Option C
21,Medium,Gaming,Option A
28,High,Gaming,Option C
42,High,Streaming,Option B
45,High,Streaming,Option C
23,High,Streaming,Option A
33,Low,Voice,Option C
23,High,Streaming,Option A
63,Medium,Gaming,Option A
53,Low,Browsing,Option A
45,High,Streaming,Option A
30,Low,Browsing,Option A
53,Medium,Gaming,Option A
47,Medium,Streaming,Option A
50,Medium,Gaming,Option A
21,High,Gaming,Option B
33,High,Streaming,Option C
26,Low,Browsing,Option A
36,Low,Voice,Option A
36,Low,Voice,Option B
72,High,Streaming,Option A
50,Medium,Streaming,Option A
20,Medium,Streaming,Option C
63,Medium,Browsing,Option B
46,Medium,Gaming,Option A
46,Medium,Browsing,Option A
28,High,Gaming,Option A
33,Medium,Browsing,Option B
19,Low,Voice,Option C
26,Medium,Gaming,Option A
28,Medium,Gaming,Option A
39,Medium,Gaming,Option C
63,High,Streaming,Option A
34,Medium,Browsing,Option C
54,High,Streaming,Option B
39,Medium,Streaming,Option A
50,Low,Voice,Option C
66,High,Streaming,Option C
26,Low,Browsing,Option C
34,High,Streaming,Option B
18,Medium,Browsing,Option A
26,High,Gaming,Option A
74,Medium,Browsing,Option A
43,High,Gaming,Option A
35,Medium,Gaming,Option A
54,Low,Browsing,Option A
50,Low,Voice,Option A
37,Medium,Streaming,Option C
18,Low,Voice,Option A
48,Medium,Browsing,Option A
26,Low,Voice,Option C
33,Medium,Gaming,Option A
48,High,Streaming,Option A
25,Medium,Browsing,Option A
43,Medium,Streaming,Option C
24,High,Streaming,Option A
25,High,Streaming,Option A
33,Medium,Browsing,Option B
51,Medium,Browsing,Option A
36,Low,Voice,Option C
31,High,Streaming,Option C
34,Medium,Browsing,Option A
44,Low,Browsing,Option C
31,Low,Streaming,Option A
38,High,Streaming,Option B
52,High,Streaming,Option B
76,High,Gaming,Option B
19,Medium,Streaming,Option C
30,High,Streaming,Option C
38,Low,Voice,Option A
32,High,Gaming,Option A
25,High,Streaming,Option B
30,High,Streaming,Option A
54,Low,Voice,Option B
42,High,Streaming,Option A
77,Low,Voice,Option A
26,Low,Voice,Option C
37,Low,Voice,Option B
19,Medium,Gaming,Option A
25,Low,Voice,Option B
29,Medium,Gaming,Option A
22,High,Streaming,Option C
23,Low,Browsing,Option C
27,Medium,Browsing,Option A
28,Medium,Gaming,Option A
26,High,Streaming,Option B
45,High,Streaming,Option C
78,Medium,Gaming,Option A
26,High,Gaming,Option A
25,Medium,Gaming,Option A
70,High,Streaming,Option C
61,Medium,Streaming,Option A
42,Medium,Browsing,Option B
34,Low,Browsing,Option A
36,Low,Voice,Option C
41,Low,Voice,Option A
41,Medium,Browsing,Option B
36,Low,Browsing,Option C
36,High,Streaming,Option C
39,Low,Voice,Option A
65,High,Streaming,Option A
39,Low,Browsing,Option A
22,Low,Voice,Option B
43,Low,Browsing,Option A
38,Medium,Browsing,Option A
39,Medium,Browsing,Option B
24,Low,Voice,Option C
30,Medium,Gaming,Option A
32,High,Streaming,Option A
60,High,Streaming,Option A
67,Medium,Streaming,Option A
30,Low,Voice,Option B
19,High,Streaming,Option B
34,Low,Browsing,Option A
45,Low,Voice,Option A
25,High,Gaming,Option C
41,Low,Voice,Option A
41,Low,Browsing,Option A
52,High,Streaming,Option C
29,Low,Browsing,Option C
78,Medium,Streaming,Option C
38,Medium,Browsing,Option A
64,Medium,Gaming,Option A
50,Low,Voice,Option C
43,Low,Voice,Option A
41,Low,Voice,Option B
28,Low,Browsing,Option A
22,Low,Voice,Option C
44,High,Streaming,Option A
38,Medium,Streaming,Option B
24,High,Gaming,Option A
53,High,Streaming,Option B
44,High,Streaming,Option A
44,Low,Voice,Option A
30,Medium,Streaming,Option A
26,Low,Voice,Option A
78,Medium,Gaming,Option A
60,High,Gaming,Option A
26,High,Streaming,Option B
38,Medium,Streaming,Option C
33,High,Streaming,Option B
48,Low,Browsing,Option A
72,High,Streaming,Option A
45,Medium,Browsing,Option C
43,High,Streaming,Option C
48,High,Streaming,Option C
75,High,Streaming,Option A
18,Low,Voice,Option C
26,Low,Voice,Option A
21,Low,Streaming,Option A
50,Medium,Streaming,Option B
51,Low,Voice,Option B
35,Low,Browsing,Option A
51,Low,Browsing,Option A
19,High,Streaming,Option A
28,Low,Browsing,Option A
33,Low,Voice,Option A
18,Low,Voice,Option A
24,Medium,Gaming,Option B
38,Low,Voice,Option A
52,Low,Voice,Option A
46,Low,Voice,Option B
67,Low,Browsing,Option A
35,High,Streaming,Option C
47,Medium,Gaming,Option A
51,Medium,Browsing,Option A
39,Medium,Gaming,Option A
20,High,Streaming,Option B
40,Medium,Gaming,Option A
18,Low,Voice,Option B
54,Low,Voice,Option A
19,High,Streaming,Option A
40,Medium,Browsing,Option A
